Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
PRI,2024-04-30,QQQ,XLF,MDY,LR,0.575,0.1,0.658456168026724,0,0.017899692911643388,0.0,QQQ,2024-04-30
QLYS,2024-04-30,QQQ,XLY,,LR,0.55,0.06,0.608397258806846,0,0.01577867120818172,0.0,QQQ,2024-04-30
RGA,2024-04-30,QQQ,XLF,MDY,LR,0.575,0.1,0.6519579236595924,0,0.021748330929975322,0.0,QQQ,2024-04-30
RH,2024-04-30,QQQ,XLY,MDY,RF,0.55,0.04,0.5724174327963256,0,0.01152436381920491,0.0,QQQ,2024-04-30
TMHC,2024-04-30,QQQ,XLB,MDY,RF,0.6,0.1,0.5596121100818761,0,-0.000287407686099947,-0.0,QQQ,2024-04-30
SAIC,2024-04-30,QQQ,XLI,MDY,RF,0.55,0.1,0.6124318155783592,0,0.004337230728082877,0.0,QQQ,2024-04-30
ALLY,2024-04-30,QQQ,XLF,MDY,RF,0.55,0.1,0.5420969468897872,0,0.008037361106597153,0.0,QQQ,2024-04-30
ACM,2024-04-30,QQQ,XLI,MDY,LR,0.55,0.1,0.4875156043349794,0,0.01124246812764966,0.0,QQQ,2024-04-30
WU,2024-04-30,QQQ,XLB,,RF,0.55,0.1,0.522635504284665,0,-0.0261408815121858,-0.0,QQQ,2024-04-30
FN,2024-04-30,QQQ,XLK,,LR,0.55,0.1,0.587433508477833,0,0.02335924406398636,0.0,QQQ,2024-04-30
CELH,2024-04-30,QQQ,XLY,,LR,0.55,0.02,0.5311788945657604,0,0.030123716910577296,0.0,QQQ,2024-04-30
CHRD,2024-04-30,QQQ,XLE,,LR,0.55,0.08,0.6040759364289472,0,0.0010115428994765373,0.0,QQQ,2024-04-30
CNH,2024-04-30,QQQ,XLB,MDY,RF,0.625,0.04,0.5982452745562108,0,-0.009834336827962677,-0.0,QQQ,2024-04-30
COTY,2024-04-30,QQQ,XLB,MDY,RF,0.575,0.02,0.5551554677627958,0,-0.014156426172168914,-0.0,QQQ,2024-04-30
CPRI,2024-04-30,QQQ,XLB,MDY,RF,0.55,0.1,0.5230627954614905,0,-0.010005408784528843,-0.0,QQQ,2024-04-30
BRX,2024-04-30,QQQ,XLRE,MDY,LR,0.625,0.02,0.6193903990811714,0,0.005224946170645259,0.0,QQQ,2024-04-30
BLD,2024-04-30,QQQ,XLB,MDY,RF,0.6,0.1,0.5805319272280312,0,0.009690448441366323,0.0,QQQ,2024-04-30
CROX,2024-04-30,QQQ,XLY,MDY,RF,0.55,0.1,0.5375335821551545,0,0.007753612850354105,0.0,QQQ,2024-04-30
CVLT,2024-04-30,QQQ,XLK,MDY,RF,0.55,0.1,0.4859483865426424,0,0.01197682710246488,0.0,QQQ,2024-04-30
ENSG,2024-04-30,QQQ,XLV,MDY,LR,0.6,0.1,0.6505691699216025,0,0.00898870280218159,0.0,QQQ,2024-04-30
AXTA,2024-04-30,QQQ,XLB,MDY,RF,0.575,0.06,0.6091735183355188,0,0.08506766228922324,0.0,QQQ,2024-04-30
EVR,2024-04-30,QQQ,XLF,MDY,RF,0.55,0.1,0.5032925483951063,0,0.016439809850350814,0.0,QQQ,2024-04-30
BWXT,2024-04-30,QQQ,XLI,MDY,LR,0.55,0.1,0.5138557975923509,0,0.004221619053871819,0.0,QQQ,2024-04-30
FAF,2024-04-30,QQQ,XLRE,MDY,LR,0.65,0.06,0.6942268849271549,0,-0.00540615114837431,-0.0,QQQ,2024-04-30
FNF,2024-04-30,QQQ,XLF,MDY,LR,0.575,0.1,0.6660564720525949,0,0.013522220064530138,0.0,QQQ,2024-04-30
GLPI,2024-04-30,QQQ,XLRE,MDY,RF,0.625,0.02,0.6340344015337948,0,0.009606419124848041,0.0,QQQ,2024-04-30
AVAV,2024-04-30,QQQ,XLI,IJR,LR,0.575,0.06,0.5962204074143326,0,0.015340404425863697,0.0,QQQ,2024-04-30
ARMK,2024-04-30,QQQ,XLI,MDY,LR,0.65,0.1,0.5897991023110132,0,-0.005767251979931379,-0.0,QQQ,2024-04-30
GWRE,2024-04-30,QQQ,XLK,,RF,0.55,0.1,0.4867776343627462,0,0.015030366059263039,0.0,QQQ,2024-04-30
H,2024-04-30,QQQ,XLI,MDY,LR,0.575,0.06,0.5274539475838542,0,0.009180201826296724,0.0,QQQ,2024-04-30
HLI,2024-04-30,QQQ,XLF,MDY,RF,0.575,0.08,0.5546738861845377,0,0.0002887421345477549,0.0,QQQ,2024-04-30
APPF,2024-04-30,QQQ,XLI,,LR,0.55,0.1,0.5218360468420884,0,0.026287106211876483,0.0,QQQ,2024-04-30
HQY,2024-04-30,QQQ,XLF,MDY,RF,0.55,0.08,0.5903756198565296,0,0.011456505533222772,0.0,QQQ,2024-04-30
