Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_long,FTI,-0.003444328428990056,0.0,6,18,0.3333333333333333,QQQ
sp400_long,AN,-0.0034948122917598723,0.0,3,18,0.3333333333333333,QQQ
sp400_long,NLY,-0.003652178247240956,0.0,8,18,0.25,QQQ
sp400_long,XRAY,-0.0036929694592615614,0.0,13,18,0.46153846153846156,QQQ
sp400_long,CHE,-0.0037383857614154,-0.0008403393120673,12,18,0.25,QQQ
sp400_long,AA,-0.0037622949734042663,0.0,15,18,0.5333333333333333,QQQ
sp400_long,RRC,-0.003828018860583317,0.0,5,18,0.4,QQQ
sp400_long,XPO,-0.0038291176225944057,0.0,8,18,0.375,QQQ
sp400_long,JLL,-0.00395253292371195,-0.0,6,18,0.3333333333333333,QQQ
sp400_long,ENS,-0.003977466765098906,0.0,13,18,0.46153846153846156,QQQ
sp400_long,SF,-0.0039855723004930165,0.0,13,18,0.38461538461538464,QQQ
sp400_long,KTOS,-0.004146222660021939,0.0,7,18,0.42857142857142855,QQQ
sp400_long,AAL,-0.004157123562036133,-0.0029497266805522,15,18,0.4,QQQ
sp400_long,NOVT,-0.004242460084873505,-0.00388239886186895,18,18,0.3888888888888889,QQQ
sp400_long,DLB,-0.004269643210935533,0.0,14,18,0.42857142857142855,QQQ
sp400_long,SIGI,-0.004272179137651633,0.0,9,18,0.4444444444444444,QQQ
sp400_long,ADC,-0.004315300262341189,0.0,9,18,0.2222222222222222,QQQ
sp400_long,SEIC,-0.004335496279628456,-0.00494200133169485,18,18,0.3888888888888889,QQQ
sp400_long,ORA,-0.004362437510377261,-0.00141998104885455,13,18,0.23076923076923078,QQQ
sp400_long,CBT,-0.0044562086878763155,-0.0,10,18,0.3,QQQ
sp400_long,COLM,-0.004462328958947538,-0.00323563473383735,14,18,0.35714285714285715,QQQ
sp400_long,CUBE,-0.004486414892394894,0.0,9,18,0.3333333333333333,QQQ
sp400_long,CNX,-0.004591447153842462,-0.0048556342978264,18,18,0.5,QQQ
sp400_long,CACI,-0.004648727885931283,0.0,11,18,0.2727272727272727,QQQ
sp400_long,CRS,-0.004671121793215128,0.0,3,18,0.6666666666666666,QQQ
sp400_long,CXT,-0.004711345450937605,-0.0025002652090467,17,18,0.47058823529411764,QQQ
sp400_long,CSL,-0.004728533707177789,0.0,7,18,0.42857142857142855,QQQ
sp400_long,DKS,-0.004741327509903111,0.0,10,18,0.4,QQQ
sp400_long,DCI,-0.004755289222320756,0.0,11,18,0.36363636363636365,QQQ
sp400_long,PCH,-0.004962342589462338,-0.00108905498705955,14,18,0.35714285714285715,QQQ
sp400_long,GBCI,-0.005079794654717778,0.0,13,18,0.6153846153846154,QQQ
sp400_long,TTEK,-0.005084046771800934,-0.0,15,18,0.4666666666666667,QQQ
sp400_long,NBIX,-0.005208733410858788,-0.00121962714743705,14,18,0.35714285714285715,QQQ
sp400_long,CDP,-0.005234535341705189,-0.0024381844712257498,15,18,0.26666666666666666,QQQ
sp400_long,AGCO,-0.005353091961488633,-0.00022260969424105,16,18,0.5,QQQ
sp400_long,JEF,-0.005358391249063272,0.0,6,18,0.16666666666666666,QQQ
sp400_long,RGEN,-0.005482674388913189,0.0016832433040752,17,18,0.5882352941176471,QQQ
sp400_long,GNTX,-0.00550345865103995,-0.004026073723276,17,18,0.35294117647058826,QQQ
sp400_long,BBWI,-0.0055226255532130775,-0.00289043747187025,17,18,0.47058823529411764,QQQ
sp400_long,FCFS,-0.0056005455672864775,0.0,12,18,0.4166666666666667,QQQ
sp400_long,OLN,-0.0056375971600390335,-0.00042097284301665,15,18,0.4666666666666667,QQQ
sp400_long,TCBI,-0.005642454170842145,0.0,14,18,0.5,QQQ
sp400_long,TOL,-0.00564971344814865,0.0,9,18,0.5555555555555556,QQQ
sp400_long,NEU,-0.005698083627755739,0.0,12,18,0.3333333333333333,QQQ
sp400_long,NFG,-0.00572692209606945,-0.005391127817950999,18,18,0.3888888888888889,QQQ
sp400_long,LNW,-0.005803208018667472,-0.00011455384366865,13,18,0.38461538461538464,QQQ
sp400_long,MZTI,-0.005862104572834711,0.0,8,18,0.125,QQQ
sp400_long,GGG,-0.005930670549427873,-0.00218482335277875,17,18,0.4117647058823529,QQQ
sp400_long,FHN,-0.005985307582234922,-0.00367095983227805,18,18,0.3333333333333333,QQQ
sp400_long,HAE,-0.006008159648506906,-0.0010302394107658,14,18,0.35714285714285715,QQQ
sp400_long,KEX,-0.0060223910949043,0.0,10,18,0.2,QQQ
