Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
ADM,QQQ,XLE,,LR,0.55,0.08,0.5236169617983594,0.5112558535506336,-0.10285365350383546,-0.8340190115937158,-0.41159926668718927,0.305159165751921,sp500_long,QQQ
EQT,QQQ,XLE,MDY,RF,0.575,0.1,0.4899481255785251,0.4970000148299112,-0.18774143092377737,-0.8341360189001397,-0.5397999414349917,0.23600439077936333,sp500_long,QQQ
EA,QQQ,XLC,,RF,0.575,0.1,0.5542288204655776,0.5523886646998246,-0.07315684145897494,-0.8443097317753856,-0.10681275173037164,0.08630952380952381,sp500_long,QQQ
CNP,QQQ,XLU,,RF,0.575,0.08,0.49913243813801944,0.49667945641334016,-0.09622344558307416,-0.8548452213542918,-0.3731723600033128,0.6432491767288694,sp500_long,QQQ
A,QQQ,XLV,,LR,0.625,0.04,0.4953334497545453,0.4539651956164712,-0.19117104908711913,-0.8575872073555844,-0.6318010105458818,0.7321624588364435,sp500_long,QQQ
SO,QQQ,XLU,,RF,0.55,0.1,0.5193058568329718,0.5170378880045656,-0.04253119797692606,-0.8660770424014228,-0.17154936233280738,0.09659714599341383,sp500_long,QQQ
ROK,QQQ,XLI,,RF,0.575,0.1,0.5041842625237302,0.48502787727737656,-0.14982702561897543,-0.8704626556420355,-0.4574703408623333,0.407244785949506,sp500_long,QQQ
WMB,QQQ,XLE,,RF,0.55,0.1,0.5124805674310144,0.5537893163648657,-0.03177444268779328,-0.8763256661297921,-0.1456846667200682,0.027442371020856202,sp500_long,QQQ
RF,QQQ,XLF,MDY,LR,0.6,0.1,0.4670960176004807,0.44580026605199774,-0.19515160361452644,-0.8815688270252543,-0.6142489925978496,0.3765093304061471,sp500_long,QQQ
WMT,QQQ,XLP,,RF,0.6,0.02,0.5042841146974344,0.5484888909422339,-0.16169871959493098,-0.8819688961347848,-0.5452822409822662,1.0,sp500_long,QQQ
APA,QQQ,XLE,MDY,LR,0.55,0.1,0.45685828941642886,0.44953266097090194,-0.1793792920033167,-0.922622795861652,-0.5484495714942288,0.10976948408342481,sp500_long,QQQ
NEM,QQQ,XLB,,LR,0.6,0.1,0.5216949119864268,0.4994986244474641,-0.09941980428314878,-0.9324121156138464,-0.33018920035999033,0.0889132821075741,sp500_long,QQQ
LLY,QQQ,XLV,,RF,0.55,0.1,0.4848929006791664,0.5270859656449961,-0.03175208444534361,-0.9421285245990646,-0.11637072319822472,0.018660812294182216,sp500_long,QQQ
MCO,QQQ,XLF,,LR,0.55,0.08,0.5103549723222235,0.4835909529933766,-0.10633910439786631,-0.953687612167102,-0.4003231639974958,0.1967032967032967,sp500_long,QQQ
PLD,QQQ,XLRE,MDY,LR,0.6,0.1,0.5068377325196677,0.44957467852720284,-0.2013863122257018,-0.9538168461480323,-0.37605110965272215,0.29723991507430997,sp500_long,QQQ
K,QQQ,XLP,,RF,0.575,0.04,0.49201573709789403,0.49430673710122175,-0.14992205142178505,-0.9707145997882218,-0.4645615646736295,0.8858397365532382,sp500_long,QQQ
AXON,QQQ,XLI,,RF,0.575,0.1,0.5010362444572971,0.5203280076398156,-0.2183127707284105,-0.9924007471675305,-0.6348274375811596,0.20197585071350166,sp500_long,QQQ
EL,QQQ,XLB,,LR,0.55,0.02,0.5152805465771189,0.49445841594926476,-0.3436555477511163,-1.00350527834936,-0.8379558897396328,0.7014270032930845,sp500_long,QQQ
KO,QQQ,XLP,,RF,0.65,0.1,0.4806717180480845,0.4803891853926849,-0.09872499690191172,-1.013488227291789,-0.33491805128141017,0.7200878155872668,sp500_long,QQQ
LIN,QQQ,XLB,,LR,0.55,0.1,0.5142672604931845,0.509987078645856,-0.0846285424215173,-1.0167494508295067,-0.29610698052773987,0.19209659714599342,sp500_long,QQQ
BSX,QQQ,XLV,,RF,0.55,0.06,0.5113709918944247,0.5288959025282005,-0.16834953014262866,-1.030572193597517,-0.6025664200048637,0.6959385290889133,sp500_long,QQQ
IRM,QQQ,XLRE,,LR,0.6,0.02,0.47507400187712084,0.5019861403312802,-0.20761984109015197,-1.067392429882963,-0.41107596794560297,0.7855626326963907,sp500_long,QQQ
LMT,QQQ,XLI,,LR,0.55,0.04,0.49046420096081494,0.49895517465364364,-0.18284518459606414,-1.0863375845240453,-0.513472913934264,0.703622392974753,sp500_long,QQQ
RSG,QQQ,XLP,,RF,0.625,0.08,0.5215326340326341,0.5617492985514516,-0.15118474417815608,-1.1158067775815577,-0.5385783091683908,0.7892425905598244,sp500_long,QQQ
EXR,QQQ,XLRE,MDY,LR,0.65,0.04,0.520073457216626,0.489171004575378,-0.23339510295379629,-1.1222110234987162,-0.48745743430080946,0.7430997876857749,sp500_long,QQQ
CSGP,QQQ,XLRE,MDY,LR,0.65,0.02,0.5025462538926544,0.4415277913920652,-0.34066536953116777,-1.1537972050655485,-0.6939671654430055,0.921443736730361,sp500_long,QQQ
WRB,QQQ,XLF,,RF,0.55,0.08,0.48167975948016684,0.5240514703358385,-0.04718085381601733,-1.1812062759161175,-0.1608157914060826,0.036223929747530186,sp500_long,QQQ
