Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
DV,2024-04-30,SPY,XLY,,LR,0.55,0.1,0.3546462653422872,-1,0.022808706566268693,-0.023808706566268694,SPY,2024-04-30
STEL,2024-04-30,SPY,XLF,IJR,RF,0.625,0.04,0.5639186797258476,-1,0.024920803346546918,-0.02592080334654692,SPY,2024-04-30
GDYN,2024-04-30,SPY,XLY,MDY,RF,0.55,0.1,0.43371877319385965,-1,0.02600069641552124,-0.02700069641552124,SPY,2024-04-30
EYE,2024-04-30,SPY,XLY,MDY,RF,0.625,0.02,0.5861004045749213,-1,0.026182026725232888,-0.02718202672523289,SPY,2024-04-30
KREF,2024-04-30,SPY,XLRE,MDY,LR,0.65,0.02,0.6045312795565271,-1,0.026662961544783405,-0.027662961544783406,SPY,2024-04-30
XPEL,2024-04-30,SPY,XLI,MDY,RF,0.65,0.02,0.4635520209918653,-1,0.02862150213821809,-0.02962150213821809,SPY,2024-04-30
EXPI,2024-04-30,SPY,XLY,MDY,LR,0.65,0.08,0.44521259075131675,-1,0.03362579444722598,-0.03462579444722598,SPY,2024-04-30
THRY,2024-04-30,SPY,XLI,MDY,LR,0.55,0.02,0.122430901657706,-1,0.03518775164046382,-0.03618775164046382,SPY,2024-04-30
KRYS,2024-04-30,SPY,XLV,,LR,0.575,0.1,0.41422245129166757,-1,0.044546513929312914,-0.045546513929312915,SPY,2024-04-30
VIR,2024-04-30,SPY,XLY,,LR,0.625,0.04,0.4844623639321557,-1,0.047177837084883344,-0.048177837084883345,SPY,2024-04-30
GSHD,2024-04-30,SPY,XLI,,RF,0.625,0.02,0.48243715364610573,-1,0.04834462397663885,-0.04934462397663885,SPY,2024-04-30
SDGR,2024-04-30,SPY,XLY,MDY,RF,0.575,0.06,0.5132110771759488,-1,0.04977902002733234,-0.05077902002733234,SPY,2024-04-30
CTKB,2024-04-30,SPY,XLI,MDY,RF,0.625,0.08,0.5391424998461147,-1,0.0685289769863644,-0.0695289769863644,SPY,2024-04-30
DOCN,2024-04-30,SPY,XLY,,RF,0.6,0.1,0.4828911369258367,-1,0.09910358537790029,-0.10010358537790029,SPY,2024-04-30
TMDX,2024-04-30,SPY,XLK,,RF,0.575,0.04,0.49057775041043045,-1,0.26366276297703956,-0.26466276297703956,SPY,2024-04-30
GTES,2024-04-30,QQQ,XLI,MDY,LR,0.65,0.04,0.5852315689735177,-1,-0.06143057527791266,0.06043057527791266,QQQ,2024-04-30
ASO,2024-04-30,QQQ,XLI,MDY,LR,0.625,0.02,0.4982491707144183,-1,-0.022549036297068073,0.021549036297068072,QQQ,2024-04-30
HRMY,2024-04-30,QQQ,XLI,MDY,RF,0.625,0.04,0.4530147450515081,-1,-0.016873325533016955,0.015873325533016954,QQQ,2024-04-30
CRGY,2024-04-30,QQQ,XLE,MDY,RF,0.575,0.08,0.41577981452162766,-1,-0.016326065181671033,0.015326065181671032,QQQ,2024-04-30
CRC,2024-04-30,QQQ,XLE,MDY,LR,0.6,0.02,0.3836036129594607,-1,-0.010807329924671746,0.009807329924671745,QQQ,2024-04-30
PRVA,2024-04-30,QQQ,XLY,MDY,LR,0.625,0.02,0.146068526936074,-1,-0.009829945216359267,0.008829945216359266,QQQ,2024-04-30
BTU,2024-04-30,QQQ,XLE,MDY,RF,0.6,0.04,0.49723445003988553,-1,-0.008451024513394688,0.0074510245133946875,QQQ,2024-04-30
GO,2024-04-30,QQQ,XLP,,RF,0.55,0.1,0.40612694525930587,-1,-0.005435447889806438,0.004435447889806438,QQQ,2024-04-30
